page 1: ''  | raw='2025-2026 CATALOG'
page 27: 'MEASUREMENT SERIES'  | raw='MEASUREMENT SERIES MEASURE MEASURE MEASURE TAPE TAPE TAPE'
page 28: 'MEASUREMENT SERIES'  | raw='MEASUREMENT SERIES FIBREGLASS FIBREGLASS MEASURING TAPE MEASURING FIBREGLASS TAPE MEASURINGTAPE'
page 29: 'MEASUREMENT SERIES'  | raw='MEASUREMENT SERIES 16LINE TRIPOD RANGE LEVE LASER LASER .5M FINDER'
page 30: 'MEASUREMENT SERIES'  | raw='MEASUREMENT SERIES COMPUTING SCALE DIGITAL PRICE SCALE DIGITALPRICE LECTRONIC CLASP COMPUTING SCALE'
page 31: 'MEASUREMENT SERIES'  | raw='MEASUREMENT SERIES SCALE SCALE PATFORM PLATFORM SPRING LEVELWITH MAGNET'
page 32: 'MEASUREMENT SERIES'  | raw='MEASUREMENT SERIES SPIRITLEVE SPIRIT TLEVE COMBINATION MINI RULER'
page 33: 'MEASUREMENT SERIES'  | raw='MEASUREMENT SERIES ANGLERULER ERULER STAINLESS STAINLESS ANGLE STAINLESS RULER'
page 34: 'HAMMER SERIES'  | raw='HAMMER SERIES CLAW CLAW HAMMER CLAW HAMMER HAMMER'
page 35: 'HAMMER SERIES'  | raw='HAMMER SERIES ONE CLAW PIECE HAMMER TYPE FRENCH CLAW HAMMER RUBBER HAMMER'
page 36: 'SAW S SERIES'  | raw='SAW S SERIES HACKSAW CLAW HAMMER FRAME HACKSAW FRAME'
page 37: 'SAW SERIES'  | raw='SAW SERIES HACKSAW HAND SAW FRAME FOLDABLE SAW'
page 38: 'SAW SERIES'  | raw='SAW SERIES RUBBER HANDLE PRUNING SAW SAW HANDLE PRUNING PRUNINGS RUBBER SAW'
page 39: 'SAWS SERIES'  | raw='SAWS SERIES WALLPANEL SAW SAW BLADE BI-METAL SAW JIGS BLADE'
page 40: 'SCREWDRIVERS S SERIES'  | raw='SCREWDRIVERS S SERIES SCREWDRIVER+ SCREWDRIVER+ SCREWDRIVER+'
page 41: 'SCREWDRIVERS SERIES'  | raw='SCREWDRIVERS SERIES SET 4PCS 2PCS SCREWDRIVER SET SCREWDRIVER 2IN1 SCREWDRIVER SET'
page 42: ''  | raw=''
page 43: 'SCREWDRIVERS S SERIES'  | raw='SCREWDRIVERS S SERIES SCREWDRIVER SET 4PCS SCREWDRIVER SET 8PCS 6PCS SCREWDRIVER SET'
page 44: 'SCREWDRIVERS SERIES'  | raw='SCREWDRIVERS SERIES SCREWDRIVER SET SCREWDRIVER 9N1S 58PCS SCREWDRIVER SET'
page 45: 'SCREWDRIVERSS SERIES'  | raw='SCREWDRIVERSS SERIES PRECISION SCREWDRIVER SET SCREWDRIVER SET DIGITALVOLTAGE PRECISION BPCS BPCS TESTER'
page 46: 'ELECTRICIAN SERIES'  | raw='ELECTRICIAN SERIES NON-CONTACTACVOLTAGE 2IN1TESTER&SCREWDRIVER DETECTOR SOLDERIN RON'
page 47: 'ELECTRICIAN SERIES'  | raw='ELECTRICIAN SERIES WIRE STRIPPER SOLDERING RON 2IN1 WIRE STRIPPER'
page 48: 'ELECTRICIAN SERIES'  | raw='ELECTRICIAN SERIES AUTO WIRE STRIPPER MODULAR CRIMPING CABLECUTTER'
page 49: 'ELECTRICIAN S SERIES'  | raw='ELECTRICIAN S SERIES AC/DC DIGITALCLAMP AC DIGITAL CLAMO MULTIMETER MULTIMETER GLUESTICK'
page 50: 'ELECTRICIAN S SERIES'  | raw='ELECTRICIAN S SERIES ELECTRIC WELDING PLIERS ELECTRICWELDING PLIERS METALS SCRAPER'
page 51: 'ELECTRICIAN SERIES'  | raw='ELECTRICIAN SERIES KNIFE KNIFE FOLDABLE JTIETY KNIFE'
page 52: 'CUTTING TOOL SERIES'  | raw='CUTTING TOOL SERIES HEAVY HEAVY KNIFE DUTYFOLDING KNIFE DUTYFOLDINA ITY KNIFE'
page 53: 'PIPE CUTTING KNIFE S SERIES'  | raw='PIPE CUTTING KNIFE S SERIES PUC PVC PIPE PC PIPE CUTTER CUTTER PIPE CUTTER'
page 54: 'CLAMPING SERIES'  | raw='CLAMPING SERIES KEEL CLAMP TUBE CUTTER G-CLAMP'
page 55: 'RIVET GUN S SERIES'  | raw='RIVET GUN S SERIES HEAVY VISE BELT CLAMP PIPE CORNER TVPE CLAMP'
page 56: 'GLUE GUN S SERIES'  | raw='GLUE GUN S SERIES OUICK RATCHET BAR CLAMP OUICKRATCHETBARCLAMP SET 4PCS SPRINA CLAMP'
page 57: 'GLUE GUN SERIES'  | raw='GLUE GUN SERIES HAND RIVETER HAND RIVETER HAND RIVETER'
page 58: 'GLUE GUN SERIES'  | raw='GLUE GUN SERIES NUTRIVETER HAND HAND RIVETER DOUBLELEVER RIVET GUN'
page 59: 'GLUE GUN SERIES'  | raw='GLUE GUN SERIES CAUIKING CAUIKING CAUIKING GUN GUN GUN'
page 60: ''  | raw='BL MOTOR'
page 61: 'SPRAY GUN S SERIES'  | raw='SPRAY GUN S SERIES OILPOT AIRSPRAY GUN AIRSPRAY GUN'
page 62: 'SPRAY GUN SERIES'  | raw='SPRAY GUN SERIES AIR SPRAY AIRSPRAY GUN GUN AIRSPRAY GUN'
page 63: 'DECORATION SERIES'  | raw='DECORATION SERIES WOODEN TROWEL WOODEN TROWEL PLASTERING TROWEL'
page 64: 'DECORATION SERIES'  | raw='DECORATION SERIES PLASTERING PLASTERING TROWE TROWEL BRICKLAVING TROWE'
page 65: 'DECORATION SERIES'  | raw='DECORATION SERIES KNIFE KNIFE PUTTY PUTTY SCRAPER'
page 66: 'JACK SERIES'  | raw='JACK SERIES CORD RATCHETTIE STRAP BUNGEE DOWN BOOSTER CABLE'
page 67: 'JACK SERIES'  | raw='JACK SERIES HORIZONTALJACK SCISSORJACKS HORIZONTALJACK'
page 68: 'AUTO REPAIR SERIES'  | raw='AUTO REPAIR SERIES PORTABLEHAND FOOTPUMP THREE PUMP TOOLS RAY CART'
page 69: 'AUTO REPAIR SERIES'  | raw='AUTO REPAIR SERIES GUN TIRE TIRE PRESSURE PRESSURE GUN STAPLE GUN'
page 70: 'DECORATION SERIES'  | raw='DECORATION SERIES STAPLE STAPLE STAPLE'
page 71: 'DECORATION SERIES'  | raw='DECORATION SERIES THREE JAWS GEAR PULER PULER ARM GEAR LATEX TERVLENE GLOVES'
page 72: 'LABORPROTECTION SERIES'  | raw='LABORPROTECTION SERIES NITRILEGLOVES GLOVES TERVLENE TERVLENE EMBOSSING CUT-RESISTANT GLOVES'
page 73: 'LABOR PROTECTION SERIES'  | raw='LABOR PROTECTION SERIES GLOVES SAFETYGLASSES SAFETY GOGGLE'
page 74: 'LABOR PROTECTION SERIES'  | raw='LABOR PROTECTION SERIES EARDEFENDERS EARPLUG CHEMICALRESPIRATOR'
page 75: 'LABOR PROTECTION SERIES'  | raw='LABOR PROTECTION SERIES WELDINGSAFETYGOGGLES WELDING HELMET WELDING SAFETY GOGGLES'
page 76: 'LABOR PROTECTION SERIES'  | raw='LABOR PROTECTION SERIES SAFETY HELMET SAFETY HELMET SAFETYHELMET'
page 77: 'LABOR PROTECTION SERIES'  | raw='LABOR PROTECTION SERIES SAFETY BOOTS SAFETY BOOTS SAFETY BOOTS'
page 78: 'LABOR PROTECTION SERIES'  | raw='LABOR PROTECTION SERIES RAINBOOTS RAINBOOTS WITH RAINBOOTSWITH'
page 79: ''  | raw=''
page 80: 'DECORATION SERIES'  | raw='DECORATION SERIES SAFETY LADDER WHEELBARROW HAND LPALLETTRUCK'
page 81: 'GARDEN SERIES'  | raw='GARDEN SERIES SHEARS SHEARS PRUNING PRUNING PRUNING SHEARS'
page 82: 'GARDEN SERIES'  | raw='GARDEN SERIES HEAVY SHEARS SHEARS PRUNING PRUNING PRUNING SHEARS'
page 83: 'GARDEN SERIES'  | raw='GARDEN SERIES HEDGESHEARS GARDEN SCISSORS GARDEN SCISSORS'
page 84: 'GARDEN SERIES'  | raw='GARDEN SERIES NOZZLESET 4PCS8-PATTERNPLASTICSPRAY 4PCS SPRAY GUNSET 3PCS SPRAY NOZZLESET'
page 85: 'GARDEN SERIES'  | raw='GARDEN SERIES HOSE MENDER CONNECTOR TAPADAPTOR'
page 86: 'GARDEN SERIES'  | raw='GARDEN SERIES HOSE SPRAVER SPRAVER CART WITHOUT HOSE'
page 87: ''  | raw='WISEP'
page 88: 'GARDEN SERIES'  | raw='GARDEN SERIES TRANSPLANTER STAINLESS STAINLESS TRANSPLANTER STAINLESS FORK'
page 89: 'DECORATION SERIES'  | raw='DECORATION SERIES SHOVEL SHOVEL SHOVEL'
page 90: 'DECORATION SERIES'  | raw='DECORATION SERIES CRIMPED CUP BRUSH KNOTTED CUP BRUSH WIRE BRUSH'
page 91: 'DECORATION SERIES'  | raw='DECORATION SERIES PADILOCK PADIOCK IRON RECTANGLEBRASS BRASS PADLOCK'
page 92: 'POLISHING/POLISHING SERIES'  | raw='POLISHING/POLISHING SERIES'
page 93: 'GLASS SUCTION CUP SERIES'  | raw='GLASS SUCTION CUP SERIES'
page 94: 'ROLLER BRUSH SERIES'  | raw='ROLLER BRUSH SERIES'
page 95: ''  | raw=''
page 96: 'ROLLER BRUSH SERIES'  | raw='ROLLER BRUSH SERIES'
page 97: 'ADHESIVE TAPE S SERIES'  | raw='ADHESIVE TAPE S SERIES'
page 98: 'FILE/POLISHING SERIES'  | raw='FILE/POLISHING SERIES'
page 99: 'FILE/POLISHING SERIES'  | raw='FILE/POLISHING SERIES'
page 100: 'DECORATIVE ACCESSORIES SERIES'  | raw='DECORATIVE ACCESSORIES SERIES PUNCH&CHISELSET CHISELSET ADIUSTABLETAP 12PCS 6PCS COLD HANDLE'
page 101: 'DECORATIVE ACCESSORIES SERIES'  | raw='DECORATIVE ACCESSORIES SERIES NUTBREAKER SCREW EXTRACTORSET SCREW 5PCS 6PCS 2PCS EXTRACTORSET'
page 102: 'DECORATION SERIES'  | raw='DECORATION SERIES GATE CUTTER CUTTER THLE HE ROLER'
page 103: 'TOOL KIT SERIES'  | raw='TOOL KIT SERIES TOOL BOX BOX TOOL E TOOLSBAG'
page 104: 'TOOL KIT SERIES'  | raw='TOOL KIT SERIES BAG KNAPSACK TOOLS TOOLS TOOL BAG'
page 105: 'TOOL KIT SERIES'  | raw='TOOL KIT SERIES DRAW-BAR TOOLS BAG REEL CABLE BLENDER'
page 106: 'DECORATIVE ACCESSORIES SERIES'  | raw='DECORATIVE ACCESSORIES SERIES FLAMETHROWER FLAMETHROWER FLAMETHROWER'
page 107: ''  | raw=''
page 108: 'DRILLING SERIES'  | raw='DRILLING SERIES M2 HSS TWIST DRILL BIT SPLIT POINT HSS M2DIN338 SELF-CEMTERINS'
page 109: 'DRILLING SERIES'  | raw='DRILLING SERIES CHROMEALLOY STEEL HIGH QUALITY TCT TIP PLUS HAMMER DRILL BIT DIN8035 SAND BLASTING FINISHING SDSPLUS SHANK.DOUBLEFIUTE'
page 110: 'HOLE SERIES'  | raw='HOLE SERIES DRILLBIT SET GLASS BIT LONG CROSS DRI 9PCS TVPE TCT WOOD DRILL BIT'
page 111: 'HOLE SERIES'  | raw='HOLE SERIES SDS PLUS AUGER BIT DIAMOND HOLE SAW HSS6542HOLESAW'
page 112: 'HOLE SERIES'  | raw='HOLE SERIES TCTWOODDRILL BIT BIT TCT WOOD TCTWOOD BIT'
page 113: 'HOLE SERIES'  | raw='HOLE SERIES TCT HOLE SAW HOLE CORE BIT SDS-PLUS FOUR SLOT WORKING DRILL'
page 114: 'WOODWORKING HOLE SERIES'  | raw='WOODWORKING HOLE SERIES ARBOR FORBI-METALHOLESAW WOOD HOLE SAW SET BI-METALHOLESAW 5PCS 11PCS SET'
page 115: 'WOODWORKING HOLE SERIES'  | raw='WOODWORKING HOLE SERIES BI-METAL HOLE SAW HOLE SAW SET HOLESAW 11PCS 16PCS SET'
page 116: 'HOLE SERIES'  | raw='HOLE SERIES MULTIFUNCTIONALADIUSTABLE MULTIFUNCTIONALADIUSTABLE SDSPLUS POINT CHISE'
page 117: 'HOLE SERIES'  | raw='HOLE SERIES CHISEL HEX CHISEL SDS-MAX POINT SCALING FLAT CHISEL SDS-MAX'
page 118: 'HOLE SERIES'  | raw='HOLE SERIES FLAT CHISEL SDS-MAX SDS-PLUS SCALING CHISEL SDS-PLUSSCALING CHISEL'
page 119: 'CUTTING/GRINDING DISC SERIES'  | raw='CUTTING/GRINDING DISC SERIES DISC STEEL CUTTING STEEL GRINDINA DISC STEEL CUTTING DISC'
page 120: 'CUTTING/GRINDING DISC SERIES'  | raw='CUTTING/GRINDING DISC SERIES SUPER THIN DIAMOND CUTTING DISC CUTTING DISC SUPERT THIN DIAMOND DIAMOND CUTTING DISC'
page 121: 'CUTTING/GRINDING DISC SERIES'  | raw='CUTTING/GRINDING DISC SERIES TCT SAW DIAMOND GRINDING BLADE TCT SAW WHEE BLADE'
page 122: 'LITHIUM E BATTERY TOOL SERIES'  | raw='LITHIUM E BATTERY TOOL SERIES BRUSHLESS CORDLESS SCREWDRIVER DRI BATTERY BRUSHLESS CORDLESS IMPACTDRIL'
page 123: 'LITHIUM BATTERY TOOL SERIES'  | raw='LITHIUM BATTERY TOOL SERIES CIRCULAR SAW SCORDESS IMPACTWRENCH BRUSHLESSCORDLESS BRUSHLESS CORDLESS BRUSHLESS SHEAR'
page 124: 'LITHIUM B BATTERY TOOL SERIES'  | raw='LITHIUM B BATTERY TOOL SERIES BRUSHLESS CORDLESS IMPACTDRIVER CORDLESS SPOT LIAHT CORDLESS FAN'
page 125: 'LITHIUM BATTERY TOOL SERIES'  | raw='LITHIUM BATTERY TOOL SERIES MACHINE CORDLESS BLOWER THLETALING CORDLESS AIRPUMP'
page 126: 'LITHIUM BATTERY TOOL SERIES'  | raw='LITHIUM BATTERY TOOL SERIES MAGNETIC WORKLIAHT FOLDING WORKLIAHT'
page 127: 'LITHIUM BATTERY TOOL SERIES'  | raw='LITHIUM BATTERY TOOL SERIES BRUSHLESS BRUSHLESS CORDLESS BRUSHLESS CORDLESS DRIN IMPACTDRIL MPACT CORDLESS ANGLE GRINDER'
page 128: 'ELECTRIC DRILL/PICKAXE SERIES'  | raw='ELECTRIC DRILL/PICKAXE SERIES CORDLESS BATTERY BATTERY LITHIUM CHARGER'
page 129: ''  | raw=''
page 130: 'ELECTRIC DRILL/PICKAXE SERIES'  | raw='ELECTRIC DRILL/PICKAXE SERIES TDRI MPACTDRIL ELECTRIC MPACT DRIL'
page 131: 'ELECTRIC DRILL/PICKAXE SERIES'  | raw='ELECTRIC DRILL/PICKAXE SERIES DRIL BENCHDRIL BENCH BENCH DRI'
page 132: 'ELECTRIC DRILL/PICKAXE SERIES'  | raw='ELECTRIC DRILL/PICKAXE SERIES DEMOLITION HAMMER ROTARY HAMMER ROTARY HAMMER'
page 133: ''  | raw='HIGH POWER HEAVY'
page 134: 'ELECTRIC DRILL/PICKAXE SERIES'  | raw='ELECTRIC DRILL/PICKAXE SERIES DEMOLITION HAMMER DEMOLITION HAMMER GREASE DEMOLITION TYPE HAMMER'
page 135: 'ELECTRIC DRILL/PICKAXE SERIES'  | raw='ELECTRIC DRILL/PICKAXE SERIES GRINDER ROTARYACCESSORYSET DRI CHUCK 264PCS MIN WITHKEY'
page 136: ''  | raw=''
page 137: 'POLISHING/POLISHING SERIES'  | raw='POLISHING/POLISHING SERIES GRINDER ANGLE GRINDER ANGLE ANGLEGRINDER'
page 138: 'POLISHING/POLISHING SERIES'  | raw='POLISHING/POLISHING SERIES POLISHER PALMSANDER CAR ORBITAL SANDER'
page 139: 'CUTTING TOOL SERIES'  | raw='CUTTING TOOL SERIES GRINDER DRY SANDER ELECTRIC DRY DIE! WA WA: SANDER'
page 140: 'CUTTING TOOL SERIES'  | raw='CUTTING TOOL SERIES PLANER ELECTRIC MARBLE CUTTER CUT OFFSAW'
page 141: 'CUTTING TOOL SERIES'  | raw='CUTTING TOOL SERIES MITRESAW SAW COMPOUND MITRE MITRE SAW'
page 142: 'ELECTRIC SPRAY GUN/BLOWER SERIES'  | raw='ELECTRIC SPRAY GUN/BLOWER SERIES MACHINE TRIMMER PNEUMATIC ROUTER ELECTRIC NAII GUN'
page 143: 'ELECTRIC SPRAY GUN/BLOWER SERIES'  | raw='ELECTRIC SPRAY GUN/BLOWER SERIES STAPLE STAPLE DC LIAUID ADDING PUMP'
page 144: 'ELECTRIC SPRAY GUN/BLOWER SERIES'  | raw='ELECTRIC SPRAY GUN/BLOWER SERIES ELECTRIC SPRAY ELECTRICSPRAY GUN ELECTRIC S SPRAY GUN GUN'
page 145: 'DECORATION TOOL SERIES'  | raw='DECORATION TOOL SERIES VIBRATOR CONCRETE VIBRATOR GASOLING CONCRETE JIBRATORSPEAR'
page 146: 'VACUUM/CLEANING SERIES'  | raw='VACUUM/CLEANING SERIES CONCRETE MIXER MIXER CONCRETE GASOLINE TROWEL STEELFRAME'
page 147: 'VACUUM/CLEANING SERIES'  | raw='VACUUM/CLEANING SERIES HIGHPRESSURE HIGHPRESSURE WASHER WASHER HIGHP PRESSURE WASHER'
page 148: 'VACUUM/CLEANING SERIES'  | raw='VACUUM/CLEANING SERIES CLEANER CLEANER VACUUM VACUUM VACUUM CLEANER'
page 149: 'AIR COMPRESSOR SERIES'  | raw='AIR COMPRESSOR SERIES AIRCOMPRESSOR AIR COMPRESSOR AIRCOMPRESSOR'
page 150: 'WELDING MACHINE SERIES'  | raw='WELDING MACHINE SERIES MACHINE MMA MACHINE WELDING WELDING 15KG WELDING MACHINE'
page 151: 'WELDING MACHINE SERIES'  | raw='WELDING MACHINE SERIES MACHINE MIA/MMA/TIG WELDING INVERTERWELDING NVERTERWELDING MIA/MMA'
page 152: 'WATERPUMP S SERIES'  | raw='WATERPUMP S SERIES CLEAN CLEAN WATER PUMP CLEAN WATER PUMP WATER PUMP'
page 153: 'WATERPUMP S SERIES'  | raw='WATERPUMP S SERIES CENTRIFUGAL PUMP AUTOMATIC SELF-PRIMING MULTISTAGE PUMPS CENTRIFUGAL PUMP'
page 154: ''  | raw='WATERPUMPSERIES SUBMERSIBLE SUBMERSIBLE PUMP PUMP DIRTYWATER PUMP'
page 155: ''  | raw='WATERPUMPSERIES AUTOMATIC BOOSTER PUMP GASOLINE GASOLINE WATER GENERATOR PUMP'
page 156: 'GENERATOR SERIES'  | raw='GENERATOR SERIES GASOLINE INVERTER GENERATOR GASOLINE GASOLINE INVERTER GENERATOR WELDER/GENERATOR'
page 157: 'GENERATOR SERIES'  | raw='GENERATOR SERIES GASOLINE GENERATOR GASOLINE GENERATOR GENERATOR&WELDER'
page 158: ''  | raw=''
page 159: ''  | raw='PROMOTIONAL FILMING 10000+ UPTOTDOVARFTIES'
page 160: ''  | raw=''
DONE
